code,name_english,description_english,name_french,description_french
13-204,Credit Analysts,,Analystes de crédit,
13-2041,Credit Analysts,"Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decisionmaking. Excludes ""Financial Risk Specialists"" (13-2054).",Analystes de crédit,Analyser les données de crédit et les états financiers des particuliers ou des entreprises afin de déterminer le degré de risque associé à l'octroi de crédit ou au prêt d'argent. Préparer des rapports contenant des informations de crédit à utiliser dans la prise de décision. À l'exclusion des « spécialistes des risques financiers » (13-2054).
13-205,Financial Analysts and Advisors,,Analystes et conseillers financiers,
13-2051,Financial and Investment Analysts,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses. Excludes ""Budget Analysts"" (13-2031), ""Financial Risk Specialists"" (13-2054), and ""Securities, Commodities, and Financial Services Sales Agents"" (41-3031).",Analystes financiers et d'investissement,"Effectuer des analyses quantitatives de l'information concernant les programmes d'investissement ou les données financières d'institutions publiques ou privées, y compris l'évaluation des entreprises. Exclut les « analystes budgétaires » (13-2031), les « spécialistes des risques financiers » (13-2054) et les « agents de vente de valeurs mobilières, de produits de base et de services financiers » (41-3031)."
13-2052,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment strategies, securities, insurance, pension plans, and real estate. Duties include assessing clients' assets, liabilities, cash flow, insurance coverage, tax status, and financial objectives. May also buy and sell financial assets for clients. Excludes ""Securities, Commodities, and Financial Services Sales Agents"" (41-3031).",Conseillers financiers personnels,"Conseiller les clients sur les plans financiers en utilisant la connaissance des stratégies fiscales et de placement, des valeurs mobilières, des assurances, des régimes de retraite et de l'immobilier. Les tâches comprennent l'évaluation des actifs, des passifs, des flux de trésorerie, de la couverture d'assurance, du statut fiscal et des objectifs financiers des clients. Peut également acheter et vendre des actifs financiers pour des clients. Exclut les « agents de vente de valeurs mobilières, de produits de base et de services financiers » (41-3031)."
13-2053,Insurance Underwriters,Review individual applications for insurance to evaluate degree of risk involved and determine acceptance of applications.,Souscripteurs d'assurance,Examiner les demandes d'assurance individuelles afin d'évaluer le degré de risque encouru et de déterminer l'acceptation des demandes.
13-2054,Financial Risk Specialists,"Analyze and measure exposure to credit and market risk threatening the assets, earning capacity, or economic state of an organization. May make recommendations to limit risk. Excludes ""Credit Analysts"" (13-2041).",Spécialistes des risques financiers,"Analyser et mesurer l'exposition au risque de crédit et de marché menaçant les actifs, la capacité de gain ou l'état économique d'une organisation. Peut faire des recommandations pour limiter les risques. À l'exclusion des « analystes de crédit » (13-2041)."
13-206,Financial Examiners,,Examinateurs financiers,
13-2061,Financial Examiners,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records.",Examinateurs financiers,"Appliquer ou assurer le respect des lois et règlements régissant les institutions financières et de valeurs mobilières et les transactions financières et immobilières. Peut examiner, vérifier ou authentifier les enregistrements."
13-207,Credit Counselors and Loan Officers,,Conseillers en crédit et agents de prêt,
13-2071,Credit Counselors,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explain loan requirements or restrictions. May help develop debt management plans or student financial aid packages. May advise on credit issues, or provide budget, mortgage, bankruptcy, or student financial aid counseling.",Conseillers en crédit,"Conseiller et éduquer les particuliers ou les organisations sur l'acquisition et la gestion de dettes. Peut fournir des conseils pour déterminer le meilleur type de prêt et expliquer les exigences ou les restrictions du prêt. Peut aider à élaborer des plans de gestion de la dette ou des programmes d'aide financière aux étudiants. Peut donner des conseils sur des questions de crédit ou fournir des conseils en matière de budget, d'hypothèque, de faillite ou d'aide financière aux étudiants."
13-2072,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or credit loans. Advise borrowers on financial status and payment methods. Includes mortgage loan officers and agents, collection analysts, loan servicing officers, loan underwriters, and payday loan officers.",Agents de prêt,"Évaluer, autoriser ou recommander l'approbation de prêts commerciaux, immobiliers ou de crédit. Conseiller les emprunteurs sur la situation financière et les méthodes de paiement. Comprend les agents et agents de prêts hypothécaires, les analystes de recouvrement, les agents de service de prêts, les souscripteurs de prêts et les agents de prêts sur salaire."
13-208,"Tax Examiners, Collectors and Preparers, and Revenue Agents",,"Examinateurs fiscaux, percepteurs et préparateurs, et agents du revenu",
13-2081,"Tax Examiners and Collectors, and Revenue Agents",Determine tax liability or collect taxes from individuals or business firms according to prescribed laws and regulations.,"Examinateurs et percepteurs d'impôts, et agents du revenu",Déterminer l'obligation fiscale ou percevoir des impôts auprès de particuliers ou d'entreprises commerciales conformément aux lois et règlements prescrits.
13-2082,Tax Preparers,"Prepare tax returns for individuals or small businesses. Excludes ""Accountants and Auditors"" (13-2011).",Préparateurs de déclarations de revenus,Préparer des déclarations de revenus pour les particuliers ou les petites entreprises. À l'exclusion des « comptables et vérificateurs » (13-2011).
13-209,Miscellaneous Financial Specialists,,Spécialistes financiers divers,
13-2099,"Financial Specialists, All Other",All financial specialists not listed separately.,"Spécialistes financiers, tous les autres",Tous les spécialistes financiers ne sont pas répertoriés séparément.
15-12,Computer Occupations,,Professions informatiques,
15-121,Computer and Information Analysts,,Analystes informatiques et de l'information,
15-1211,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Analystes de systèmes informatiques,"Analysez les problèmes de science, d'ingénierie, d'affaires et d'autres problèmes de traitement des données pour développer et mettre en œuvre des solutions à des problèmes d'applications complexes, à des problèmes d'administration système ou à des problèmes de réseau. Exécuter les fonctions de gestion et d'intégration des systèmes, améliorer les systèmes informatiques existants et examiner les capacités du système informatique, le flux de travail et les limitations de calendrier. Peut analyser ou recommander des logiciels disponibles dans le commerce."
15-1212,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses. Excludes ""Computer Network Architects"" (15-1241).",Analystes de la sécurité de l'information,"Planifier, mettre en œuvre, mettre à niveau ou surveiller les mesures de sécurité pour la protection des réseaux informatiques et des informations. Évaluer les vulnérabilités du système pour les risques de sécurité et proposer et mettre en œuvre des stratégies d'atténuation des risques. Peut veiller à ce que des contrôles de sécurité appropriés soient en place pour protéger les fichiers numériques et les infrastructures électroniques vitales. Peut répondre aux failles de sécurité informatique et aux virus. À l'exclusion des « architectes de réseaux informatiques » (15-1241)."
15-122,Computer and Information Research Scientists,,Informaticiens et chercheurs en information,
15-1221,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software.",Informaticiens et chercheurs en information,"Mener des recherches sur l'informatique fondamentale et les sciences de l'information en tant que théoriciens, concepteurs ou inventeurs. Développer des solutions aux problèmes dans le domaine du matériel informatique et des logiciels."
15-123,Computer Support Specialists,,Spécialistes du support informatique,
15-1231,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption. Excludes ""Computer Network Architects"" (15-1241) and ""Network and Computer Systems Administrators"" (15-1244).",Spécialistes du support réseau informatique,"Analysez, testez, dépannez et évaluez les systèmes réseau existants, tels que les réseaux locaux (LAN), les réseaux étendus (WAN), les réseaux cloud, les serveurs et autres réseaux de communication de données. Effectuez la maintenance du réseau pour vous assurer que les réseaux fonctionnent correctement avec un minimum d'interruption. Exclut les « Architectes de réseaux informatiques » (15-1241) et les « Administrateurs de réseaux et de systèmes informatiques » (15-1244)."
15-1232,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve computer problems for clients in person, via telephone, or electronically. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems. Excludes ""Network and Computer Systems Administrators"" (15-1244).",Spécialistes de l'assistance aux utilisateurs d'ordinateurs,"Fournir une assistance technique aux utilisateurs d'ordinateurs. Répondre aux questions ou résoudre les problèmes informatiques des clients en personne, par téléphone ou par voie électronique. Peut fournir une assistance concernant l'utilisation du matériel informatique et des logiciels, y compris l'impression, l'installation, le traitement de texte, le courrier électronique et les systèmes d'exploitation. Exclut les « Administrateurs de systèmes réseau et informatiques » (15-1244)."
15-124,Database and Network Administrators and Architects,,Administrateurs et architectes de bases de données et de réseaux,
15-1241,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software. Excludes ""Information Security Analysts"" (15-1212), ""Computer Network Support Specialists"" (15-1231), and ""Network and Computer Systems Administrators"" (15-1244).",Architectes de réseaux informatiques,"Concevoir et mettre en œuvre des réseaux informatiques et d'information, tels que des réseaux locaux (LAN), des réseaux étendus (WAN), des intranets, des extranets et d'autres réseaux de communication de données. Effectuer la modélisation, l'analyse et la planification du réseau, y compris l'analyse des besoins en capacité des infrastructures réseau. Peut également concevoir des mesures de sécurité réseau et informatique. Peut rechercher et recommander du matériel et des logiciels de communication de réseau et de données. À l'exclusion des « analystes de la sécurité de l'information » (15-1212), des « spécialistes du soutien aux réseaux informatiques » (15-1231) et des « administrateurs de réseaux et de systèmes informatiques » (15-1244)."
15-1242,Database Administrators,"Administer, test, and implement computer databases, applying knowledge of database management systems. Coordinate changes to computer databases. Identify, investigate, and resolve database performance issues, database capacity, and database scalability. May plan, coordinate, and implement security measures to safeguard computer databases. Excludes ""Information Security Analysts"" (15-1212) and ""Database Architects"" (15-1243).",Administrateurs de base de données,"Administrer, tester et mettre en œuvre des bases de données informatiques, en appliquant les connaissances des systèmes de gestion de bases de données. Coordonner les modifications apportées aux bases de données informatiques. Identifiez, étudiez et résolvez les problèmes de performances, de capacité et d'évolutivité des bases de données. Peut planifier, coordonner et mettre en œuvre des mesures de sécurité pour protéger les bases de données informatiques. Exclut les « analystes de la sécurité de l'information » (15-1212) et les « architectes de base de données » (15-1243)."
15-1243,Database Architects,"Design strategies for enterprise databases, data warehouse systems, and multidimensional networks. Set standards for database operations, programming, query processes, and security. Model, design, and construct large relational databases or data warehouses. Create and optimize data models for warehouse infrastructure and workflow. Integrate new systems with existing warehouse structure and refine system performance and functionality. Excludes ""Database Administrators"" (15-1242).",Architectes de bases de données,"Concevoir des stratégies pour les bases de données d'entreprise, les systèmes d'entrepôt de données et les réseaux multidimensionnels. Établissez des normes pour les opérations de base de données, la programmation, les processus de requête et la sécurité. Modélisez, concevez et construisez de grandes bases de données relationnelles ou des entrepôts de données. Créez et optimisez des modèles de données pour l'infrastructure et le flux de travail de l'entrepôt. Intégrez de nouveaux systèmes à la structure d'entrepôt existante et affinez les performances et les fonctionnalités du système. Exclut les « administrateurs de base de données » (15-1242)."
15-1244,Network and Computer Systems Administrators,"Install, configure, and maintain an organization's local area network (LAN), wide area network (WAN), data communications network, operating systems, and physical and virtual servers. Perform system monitoring and verify the integrity and availability of hardware, network, and server resources and systems. Review system and application logs and verify completion of scheduled jobs, including system backups. Analyze network and server resource consumption and control user access. Install and upgrade software and maintain software licenses. May assist in network modeling, analysis, planning, and coordination between network and data communications hardware and software. Excludes ""Information Security Analysts"" (15-1212), ""Computer Network Support Specialists"" (15-1231), and ""Computer User Support Specialists"" (15-1232).",Administrateurs de systèmes réseau et informatiques,"Installez, configurez et maintenez le réseau local (LAN), le réseau étendu (WAN), le réseau de communication de données, les systèmes d'exploitation et les serveurs physiques et virtuels d'une organisation. Effectuez une surveillance du système et vérifiez l'intégrité et la disponibilité du matériel, du réseau et des ressources et systèmes du serveur. Examinez les journaux du système et des applications et vérifiez l'achèvement des tâches planifiées, y compris les sauvegardes système. Analysez la consommation des ressources réseau et serveur et contrôlez l'accès des utilisateurs. Installez et mettez à niveau des logiciels et gérez les licences logicielles. Peut aider à la modélisation, à l'analyse, à la planification et à la coordination du réseau et des communications de données matériels et logiciels. À l'exclusion des « analystes de la sécurité de l'information » (15-1212), des « spécialistes du soutien aux réseaux informatiques » (15-1231) et des « spécialistes du soutien aux utilisateurs d'ordinateurs » (15-1232)."
15-125,"Software and Web Developers, Programmers, and Testers",,"Développeurs, programmeurs et testeurs de logiciels et de sites Web",
15-1251,Computer Programmers,"Create, modify, and test the code and scripts that allow computer applications to run. Work from specifications drawn up by software and web developers or other individuals. May develop and write computer programs to store, locate, and retrieve specific documents, data, and information.",Programmeurs,"Créez, modifiez et testez le code et les scripts qui permettent aux applications informatiques de s'exécuter. Travailler à partir de spécifications établies par des développeurs de logiciels et de sites Web ou d'autres personnes. Peut développer et écrire des programmes informatiques pour stocker, localiser et récupérer des documents, des données et des informations spécifiques."
15-1252,Software Developers,"Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis. Update software or enhance existing software capabilities. May work with computer hardware engineers to integrate hardware and software systems, and develop specifications and performance requirements. May maintain databases within an application area, working individually or coordinating database development as part of a team.",Développeurs de logiciels,"Rechercher, concevoir et développer des logiciels informatiques et de réseau ou des programmes utilitaires spécialisés. Analyser les besoins des utilisateurs et développer des solutions logicielles, en appliquant les principes et les techniques de l'informatique, de l'ingénierie et de l'analyse mathématique. Mettez à jour le logiciel ou améliorez les fonctionnalités logicielles existantes. Peut travailler avec des ingénieurs en matériel informatique pour intégrer des systèmes matériels et logiciels et développer des spécifications et des exigences de performance. Peut maintenir des bases de données dans un domaine d'application, travailler individuellement ou coordonner le développement de bases de données au sein d'une équipe."
15-1253,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",Analystes et testeurs d'assurance qualité logicielle,"Développer et exécuter des tests logiciels pour identifier les problèmes logiciels et leurs causes. Tester les modifications du système pour préparer la mise en œuvre. Documentez les défauts des logiciels et des applications à l'aide d'un système de suivi des bogues et signalez les défauts aux développeurs de logiciels ou web. Créer et maintenir des bases de données de défauts connus. Peut participer à des examens de conception de logiciels pour fournir des commentaires sur les exigences fonctionnelles, les caractéristiques opérationnelles, les conceptions de produits et les calendriers."
15-1254,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications. Excludes ""Special Effects Artists and Animators"" (27-1014).",Développeurs Web,"Développer et mettre en œuvre des sites Web, des applications Web, des bases de données d'applications et des interfaces Web interactives. Évaluez le code pour vous assurer qu'il est correctement structuré, qu'il répond aux normes de l'industrie et qu'il est compatible avec les navigateurs et les appareils. Optimisez les performances, l'évolutivité et le code et les processus côté serveur du site Web. Peut développer l'infrastructure du site Web et intégrer des sites Web à d'autres applications informatiques. Exclut les « artistes et animateurs d'effets spéciaux » (27-1014)."
15-1255,Web and Digital Interface Designers,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links. Excludes ""Special Effects Artists and Animators"" (27-1014) and ""Graphic Designers"" (27-1024).",Concepteurs d'interfaces Web et numériques,"Concevoir des interfaces utilisateur numériques ou des sites Web. Développez et testez des mises en page, des interfaces, des fonctionnalités et des menus de navigation pour assurer la compatibilité et la convivialité entre les navigateurs ou les appareils. Peut utiliser des applications d'infrastructure Web ainsi que du code et des processus côté client. Peut évaluer la conception Web en suivant les normes Web et d'accessibilité, et peut analyser les mesures d'utilisation Du Web et optimiser les sites Web pour la commercialisation et le classement des moteurs de recherche. Peut concevoir et tester des interfaces qui facilitent l'interaction homme-machine et maximisent la convivialité des appareils numériques, des sites Web et des logiciels en mettant l'accent sur l'esthétique et la conception. Peut créer des graphiques utilisés dans les sites Web et gérer le contenu et les liens du site Web. Exclut les « artistes et animateurs d'effets spéciaux » (27-1014) et les « graphistes » (27-1024)."
15-129,Miscellaneous Computer Occupations,,Professions informatiques diverses,
15-1299,"Computer Occupations, All Other","All computer occupations not listed separately. Excludes ""Computer and Information Systems Managers"" (11-3021), ""Computer Hardware Engineers"" (17-2061), ""Electrical and Electronics Engineers"" (17-2070), ""Computer Science Teachers, Postsecondary"" (25-1021), ""Special Effects Artists and Animators"" (27-1014), ""Graphic Designers"" (27-1024), ""Health Information Technologists and Medical Registrars"" (29-9021), and ""Computer, Automated Teller, and Office Machine Repairers"" (49-2011).","Professions informatiques, tous les autres","Toutes les professions informatiques ne sont pas répertoriées séparément. Excluent les « Gestionnaires d'ordinateurs et de systèmes d'information » (11-3021), « Ingénieurs en matériel informatique » (17-2061), « Ingénieurs électriciens et électroniciens » (17-2070), « Enseignants en informatique, postsecondaires » (25-1021), « Artistes et animateurs d'effets spéciaux » (27-1014), « Graphistes » (27-1024), « Technologues en information sur la santé et registraires médicaux » (29-9021) et « Réparateurs d'ordinateurs, de guichets automatiques et de machines de bureau » (49-2011)."
15-2,Mathematical Science Occupations,,Professions en sciences mathématiques,
15-201,Actuaries,,Actuaires,
15-2011,Actuaries,"Analyze statistical data, such as mortality, accident, sickness, disability, and retirement rates and construct probability tables to forecast risk and liability for payment of future benefits. May ascertain insurance rates required and cash reserves necessary to ensure payment of future benefits.",Actuaires,"Analyser les données statistiques, telles que les taux de mortalité, d'accident, de maladie, d'invalidité et de retraite, et construire des tableaux de probabilités pour prévoir le risque et la responsabilité pour le paiement des prestations futures. Peut déterminer les taux d'assurance requis et les réserves de trésorerie nécessaires pour assurer le paiement des prestations futures."
15-202,Mathematicians,,Mathématiciens,
15-2021,Mathematicians,"Conduct research in fundamental mathematics or in application of mathematical techniques to science, management, and other fields. Solve problems in various fields using mathematical methods.",Mathématiciens,"Mener des recherches en mathématiques fondamentales ou en application de techniques mathématiques aux sciences, à la gestion et à d'autres domaines. Résoudre des problèmes dans divers domaines en utilisant des méthodes mathématiques."
15-203,Operations Research Analysts,,Analystes de recherche opérationnelle,
15-2031,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",Analystes de recherche opérationnelle,"Formuler et appliquer la modélisation mathématique et d'autres méthodes d'optimisation pour développer et interpréter l'information qui aide la direction à prendre des décisions, à formuler des politiques ou à assumer d'autres fonctions de gestion. Peut recueillir et analyser des données et développer des logiciels, des services ou des produits d'aide à la décision. Peut développer et fournir des réseaux optimaux de temps, de coûts ou de logistique pour l'évaluation, l'examen ou la mise en œuvre du programme."
15-204,Statisticians,,Statisticiens,
15-2041,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians. Excludes ""Survey Researchers"" (19-3022).",Statisticiens,"Développer ou appliquer une théorie et des méthodes mathématiques ou statistiques pour collecter, organiser, interpréter et résumer des données numériques afin de fournir des informations utilisables. Peut se spécialiser dans des domaines tels que la biostatistique, les statistiques agricoles, les statistiques d'entreprises ou les statistiques économiques. Comprend des statisticiens mathématiques et d'enquête. Exclut les « chercheurs en sondage » (19-3022)."
15-205,Data Scientists,,Scientifiques des données,
15-2051,Data Scientists,"Develop and implement a set of techniques or analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualization software. Apply data mining, data modeling, natural language processing, and machine learning to extract and analyze information from large structured and unstructured datasets. Visualize, interpret, and report data findings. May create dynamic data reports. Excludes ""Statisticians"" (15-2041), ""Cartographers and Photogrammetrists"" (17-1021), and ""Health Information Technologists and Medical Registrars"" (29-9021).",Scientifiques des données,"Développer et mettre en œuvre un ensemble de techniques ou d'applications d'analyse pour transformer les données brutes en informations significatives à l'aide de langages de programmation orientés données et de logiciels de visualisation. Appliquez l'exploration de données, la modélisation de données, le traitement du langage naturel et l'apprentissage automatique pour extraire et analyser des informations à partir de grands ensembles de données structurés et non structurés. Visualisez, interprétez et rapportez les résultats des données. Peut créer des rapports de données dynamiques. Exclut les « statisticiens » (15-2041), les « cartographes et photogrammétristes » (17-1021) et les « technologues en information sur la santé et registraires médicaux » (29-9021)."
15-209,Miscellaneous Mathematical Science Occupations,,Diverses professions en sciences mathématiques,
15-2099,"Mathematical Science Occupations, All Other",All mathematical scientists not listed separately.,"Professions en sciences mathématiques, toutes les autres",Tous les mathématiciens ne sont pas répertoriés séparément.
17-1,"Architects, Surveyors, and Cartographers",,"Architectes, arpenteurs et cartographes",
17-101,"Architects, Except Naval",,"Architectes, sauf Naval",
17-1011,"Architects, Except Landscape and Naval","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property. Excludes ""Landscape Architects"" (17-1012) and ""Marine Engineers and Naval Architects"" (17-2121).","Architectes, sauf paysager et naval","Planifier et concevoir des structures, telles que des résidences privées, des immeubles de bureaux, des théâtres, des usines et d'autres biens structurels. Exclut les « architectes paysagistes » (17-1012) et les « ingénieurs maritimes et architectes navals » (17-2121)."
17-1012,Landscape Architects,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.",Architectes paysagistes,"Planifier et concevoir des terrains pour des projets tels que des parcs et d'autres installations récréatives, des aéroports, des autoroutes, des hôpitaux, des écoles, des lotissements fonciers et des sites commerciaux, industriels et résidentiels."
17-102,"Surveyors, Cartographers, and Photogrammetrists",,"Géomètres, cartographes et photogrammétristes",
17-1021,Cartographers and Photogrammetrists,"Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data.",Cartographes et photogrammétristes,"Rechercher, étudier et préparer des cartes et d'autres données spatiales sous forme numérique ou graphique à une ou plusieurs fins, telles que des fins juridiques, sociales, politiques, éducatives et de conception. Peut travailler avec les systèmes d'information géographique (SIG). Peut concevoir et évaluer des algorithmes, des structures de données et des interfaces utilisateur pour les systèmes SIG et cartographiques. Peut recueillir, analyser et interpréter les informations géographiques fournies par des levés géodésiques, des photographies aériennes et des données satellitaires."
17-1022,Surveyors,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.",Arpenteurs,"Effectuez des mesures exactes et déterminez les limites des propriétés. Fournir des données pertinentes sur la forme, le contour, la gravitation, l'emplacement, l'élévation ou la dimension des terres ou des caractéristiques terrestres sur ou près de la surface de la terre à des fins d'ingénierie, de cartographie, d'exploitation minière, d'évaluation des terres, de construction et à d'autres fins."
17-2,Engineers,,Génie,
17-201,Aerospace Engineers,,Ingénieurs en aérospatiale,
17-2011,Aerospace Engineers,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",Ingénieurs en aérospatiale,"Effectuer des tâches d'ingénierie dans la conception, la construction et les essais d'avions, de missiles et d'engins spatiaux. Peut mener des recherches fondamentales et appliquées pour évaluer l'adaptabilité des matériaux et de l'équipement à la conception et à la fabrication des aéronefs. Peut recommander des améliorations dans l'équipement et les techniques d'essai."
17-202,Agricultural Engineers,,Ingénieurs agronomes,
17-2021,Agricultural Engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.",Ingénieurs agronomes,"Appliquer les connaissances de la technologie de l'ingénierie et des sciences biologiques aux problèmes agricoles liés à l'énergie et aux machines, à l'électrification, aux structures, à la conservation des sols et de l'eau et à la transformation des produits agricoles."
17-203,Bioengineers and Biomedical Engineers,,Bioingénieurs et ingénieurs biomédicaux,
17-2031,Bioengineers and Biomedical Engineers,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.",Bioingénieurs et ingénieurs biomédicaux,"Appliquer les connaissances en ingénierie, biologie, chimie, informatique et principes biomécaniques à la conception, au développement et à l'évaluation de systèmes et de produits biologiques, agricoles et de santé, tels que les organes artificiels, les prothèses, l'instrumentation, les systèmes d'information médicale et les systèmes de gestion de la santé et de prestation de soins."
17-204,Chemical Engineers,,Ingénieurs chimistes,
17-2041,Chemical Engineers,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering.",Ingénieurs chimistes,"Concevoir l'équipement des usines chimiques et concevoir des processus de fabrication de produits chimiques et de produits, tels que l'essence, le caoutchouc synthétique, les plastiques, les détergents, le ciment, le papier et la pâte, en appliquant les principes et la technologie de la chimie, de la physique et de l'ingénierie."
17-205,Civil Engineers,,Ingénieurs civils,
17-2051,Civil Engineers,"Perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures and facilities, such as roads, railroads, airports, bridges, harbors, channels, dams, irrigation projects, pipelines, power plants, and water and sewage systems. Includes architectural, structural, traffic, and geotechnical engineers. Excludes ""Hydrologists"" (19-2043).",Ingénieurs civils,"Effectuer des tâches d'ingénierie dans la planification, la conception et la supervision de la construction et de l'entretien des structures et des installations des bâtiments, telles que les routes, les chemins de fer, les aéroports, les ponts, les ports, les canaux, les barrages, les projets d'irrigation, les pipelines, les centrales électriques et les systèmes d'eau et d'égouts. Comprend des ingénieurs en architecture, en structure, en circulation et en géotechnique. Exclut les « hydrologues » (19-2043)."
17-206,Computer Hardware Engineers,,Ingénieurs en matériel informatique,
17-2061,Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment for commercial, industrial, military, or scientific use. May supervise the manufacturing and installation of computer or computer-related equipment and components. Excludes ""Software Developers"" (15-1252) and ""Web Developers"" (15-1254).",Ingénieurs en matériel informatique,"Rechercher, concevoir, développer ou tester des ordinateurs ou du matériel informatique à des fins commerciales, industrielles, militaires ou scientifiques. Superviser la fabrication et l'installation d'équipements et de composants informatiques ou connexes. Exclut les « développeurs de logiciels » (15-1252) et les « développeurs Web » (15-1254)."
17-207,Electrical and Electronics Engineers,,Ingénieurs électriciens et électroniciens,
17-2071,Electrical Engineers,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use. Excludes ""Computer Hardware Engineers"" (17-2061).",Ingénieurs électriciens,"Rechercher, concevoir, développer, tester ou superviser la fabrication et l'installation d'équipements, de composants ou de systèmes électriques à usage commercial, industriel, militaire ou scientifique. À l'exclusion des « ingénieurs en matériel informatique » (17-2061)."
