code,name_english,name_french
19-4044,Groundwater Monitoring Technician,Technicien en surveillance des eaux souterraines
19-4051,Nuclear Monitoring Technician,Technicien en surveillance nucléaire
19-4051,Radiochemical Technician,Technicien en radiochimie
19-4061,City Planning Aide,Aide à l'urbanisme
19-4061,Economic Research Assistant,Assistante de recherche économique
19-4061,Historian Research Assistant,Assistante de recherche historienne
19-4071,Forestry Aide,Aide forestière
19-4071,Soil Conservation Technician,Technicien en conservation des sols
19-4071,Timber Management Technician,Technicien en gestion du bois
19-4092,Ballistics Expert,Expert en balistique
19-4092,Crime Scene Technician,Technicien en scène de crime
19-4092,Trace Evidence Technician,Technicien en preuve de traces
19-4099,Meteorological Aide,Aide météorologique
19-4099,Polygraph Examiner,Examinateur polygraphique
19-5011,Environmental Health Sanitarian,Santé environnementale Sanitaire
19-5011,Health and Safety Inspector,Inspecteur de la santé et de la sécurité
19-5011,Industrial Hygienist,Hygiéniste industrielle
19-5012,Construction Health and Safety Technician,Technicien en santé et sécurité dans le secteur de la construction
19-5012,Ergonomics Technician,Technicien en ergonomie
19-5012,Occupational Health and Safety Technologist (OHST),Technologue en santé et sécurité au travail (TSST)
21-1011,Addiction Counselor,Conseiller en toxicomanie
21-1011,Alcohol and Drug Counselor,Conseiller en alcool et drogues
21-1011,Chemical Dependency Counselor,Conseiller en dépendance chimique
21-1012,Admissions Counselor,Conseiller aux admissions
21-1012,Career Counselor,Conseiller d'orientation
21-1012,Guidance Counselor,Conseiller d'orientation
21-1012,Student Services Counselor,Conseiller en services aux étudiants
21-1013,Child and Family Counselor,Conseiller à l'enfance et à la famille
21-1013,Couples Therapist,Thérapeute de couple
21-1013,Marriage Counselor,Conjugal
21-1014,Licensed Clinical Mental Health Counselor (LCMHC),Conseiller clinique agréé en santé mentale (LCMHC)
21-1014,Licensed Mental Health Counselor (LMHC),Conseiller en santé mentale agréé (LMHC)
21-1015,Psychosocial Rehabilitation Counselor,Conseiller en réadaptation psychosociale
21-1015,Veterans Rehabilitation Counselor,Conseiller en réadaptation des vétérans
21-1015,Vocational Rehabilitation Job Coach,Coach en réadaptation professionnelle
21-1019,Anger Control Counselor,Conseiller en contrôle de la colère
21-1019,Grief Counselor,Conseiller en deuil
21-1019,Sexual Assault Counselor,Conseiller en agression sexuelle
21-1021,Certified Children,Enfants certifiés
21-1021,Youth,Jeunesse
21-1021,and Family Social Worker,et travailleuse sociale familiale
21-1021,Child Abuse Worker,Travailleur en matière de maltraitance d'enfants
21-1021,Foster Care Worker,Travailleur en famille d'accueil
21-1022,Hospice Social Worker,Travailleur social en soins palliatifs
21-1022,Oncology Social Worker,Travailleur social en oncologie
21-1022,Public Health Social Worker,Travailleur social en santé publique
21-1023,Community Mental Health Social Worker,Travailleur social en santé mentale communautaire
21-1023,Drug Abuse Social Worker,Travailleur social toxicomane
21-1023,Psychiatric Social Worker,Travailleur social psychiatrique
21-1029,Adult Protective Service Social Worker,Travailleur social du Service de protection des adultes
21-1029,Criminal Justice Social Worker,Travailleur social en justice pénale
21-1029,Forensic Social Worker,Travailleur social médico-légal
21-1029,Sexual Assault Social Worker,Travailleur social en matière d'agression sexuelle
21-1091,Community Health Education Coordinator,Coordonnatrice de l'éducation en santé communautaire
21-1091,Diabetes Educator,Éducateur en diabète
21-1091,Public Health Educator,Éducateur en santé publique
21-1092,Juvenile Probation Officer,Agent de probation juvénile
21-1092,Parole Agent,Agent de libération conditionnelle
21-1092,Parole Officer,Agent de libération conditionnelle
21-1093,Case Work Aide,Aide au travail de cas
21-1093,Family Service Assistant,Assistante aux services à la famille
21-1093,Human Services Worker,Travailleur des services à la personne
21-1094,Lay Health Advocate,Défenseur laïc de la santé
21-1094,Peer Health Promoter,Promoteur de la santé par les pairs
21-1094,Promotor(a),Promoteur(a)
21-1099,Community Organization Worker,Travailleur d'organisme communautaire
21-1099,Veterans Service Officer,Officier des services aux anciens combattants
21-2011,Imam,Imam
21-2011,Priest,Prêtre
21-2011,Rabbi,Rabbin
21-2021,Religious Education Director,Directeur de l'éducation religieuse
21-2021,Youth Ministry Director,Directeur de la pastorale des jeunes
21-2099,Missionary,Missionnaire
21-2099,Mohel,Mohel
21-2099,Verger,Bedeau
23-1011,Attorney,Avocat
23-1011,Corporate Counsel,Conseiller juridique d'entreprise
23-1011,Public Defender,Défenseur public
23-1012,Judicial Clerk,Greffier judiciaire
23-1021,Appeals Examiner,Examinateur d'appels
23-1021,Justice of The Peace,Juge de paix
23-1021,Traffic Court Referee,Arbitre du tribunal de la circulation
23-1022,Alternative Dispute Resolution Coordinator,Coordonnatrice du règlement extrajudiciaire des différends
23-1022,Mediation Commissioner,Commissaire à la médiation
23-1022,Ombudsman,Médiateur
23-1023,Circuit Court Judge,Juge de la Cour de circuit
23-1023,Justice,Justice
23-1023,Tribal Judge,Juge tribal
23-2011,Legal Aide,Aide juridique
23-2093,Escrow Officer,Agent d'entiercement
23-2093,Lien Searcher,Chercheur de privilèges
23-2093,Title Officer,Responsable des titres
23-2099,Legal Technician,Technicien juridique
25-1011,Accounting Professor,Professeur de comptabilité
25-1011,Finance Professor,Professeur de finance
25-1011,Marketing Professor,Professeur de marketing
25-1021,Computer Information Systems Professor,Professeur de systèmes d'information informatique
25-1021,Information Technology Professor,Professeur de technologie de l'information
25-1021,Java Programming Professor,Professeur de programmation Java
25-1022,Actuarial Science Professor,Professeur d'actuariat
25-1022,Calculus Professor,Professeur de calcul
25-1022,Statistics Professor,Professeur de statistique
25-1031,Architectural Design Professor,Professeur de design architectural
25-1031,Landscape Architecture Professor,Professeur d'architecture de paysage
25-1032,Aeronautical Engineering Professor,Professeur de génie aéronautique
25-1032,Civil Engineering Professor,Professeur de génie civil
25-1032,Electrical Engineering Professor,Professeur de génie électrique
25-1032,Marine Engineering Professor,Professeur de génie maritime
25-1041,Agronomy Professor,Professeur d'agronomie
25-1041,Aquaculture and Fisheries Professor,Professeur d'aquaculture et de pêche
25-1041,Farm Management Professor,Professeur de gestion agricole
25-1042,Bacteriology Professor,Professeur de bactériologie
25-1042,Biochemistry Professor,Professeur de biochimie
25-1042,Botany Professor,Professeur de botanique
25-1043,Forest Ecology Professor,Professeur d'écologie forestière
25-1043,Timber Management Professor,Professeur de gestion du bois
25-1043,Wildlife Conservation Professor,Professeur de conservation de la faune
25-1051,Climatology Professor,Professeur de climatologie
25-1051,Geology Professor,Professeur de géologie
25-1051,Oceanography Professor,Professeur d'océanographie
25-1052,Inorganic Chemistry Professor,Professeur de chimie inorganique
25-1052,Organic Chemistry Professor,Professeur de chimie organique
25-1052,Physical Chemistry Professor,Professeur de chimie physique
25-1053,Environmental Studies Professor,Professeur d'études environnementales
25-1054,Astrophysics Professor,Professeur d'astrophysique
25-1054,Ballistics Professor,Professeur de balistique
25-1054,Hydrodynamics Professor,Professeur d'hydrodynamique
25-1054,Thermodynamics Professor,Professeur de thermodynamique
25-1061,Cultural Anthropology Professor,Professeur d'anthropologie culturelle
25-1061,Ethnoarchaeology Professor,Professeur d'ethnoarchéologie
25-1061,Paleology Professor,Professeur de paléologie
25-1062,Ethnology Professor,Professeur d'ethnologie
25-1062,Latin American Studies Professor,Professeur d'études latino-américaines
25-1062,Women's Studies Professor,Professeure d'études féminines
25-1063,Agricultural Economics Professor,Professeur d'économie agricole
25-1063,Econometrics Professor,Professeur d'économétrie
25-1063,Labor Economics Professor,Professeur d'économie du travail
25-1064,Cartography Professor,Professeur de cartographie
25-1064,Geomatics Professor,Professeur de géomatique
25-1064,GIS Professor,Professeur SIG
25-1065,Government Professor,Professeur de gouvernement
25-1065,International Relations Professor,Professeur de relations internationales
25-1065,Public Policy Professor,Professeur de politique publique
25-1066,Child Development Professor,Professeur de développement de l'enfant
25-1066,Educational Psychology Professor,Professeur de psychologie de l'éducation
25-1066,Industrial/Organizational Psychology Professor,Professeur de psychologie industrielle/organisationnelle
25-1067,Comparative Sociology Professor,Professeur de sociologie comparée
25-1069,Survey Research Professor,Professeur de recherche par sondage
25-1069,Urban Planning Professor,Professeur d'urbanisme
25-1071,Nutrition Professor,Professeur de nutrition
25-1071,Pharmacology Professor,Professeur de pharmacologie
25-1071,Public Health Professor,Professeur de santé publique
25-1072,Advanced Nursing Professor,Professeure avancée en sciences infirmières
25-1072,Clinical Nursing Professor,Professeur de sciences infirmières cliniques
25-1072,Registered Nursing Professor,Professeure autorisée en sciences infirmières
25-1081,Primary Education Professor,Professeur d'enseignement primaire
25-1081,Special Education Professor,Professeur d'éducation de l'enfance en difficulté
25-1082,Library and Information Science Professor,Professeur de bibliothéconomie et de sciences de l'information
25-1082,Medical Records Library Professor,Professeur à la bibliothèque des dossiers médicaux
25-1111,Criminology Professor,Professeur de criminologie
25-1111,Penology Professor,Professeur de pénologie
25-1112,Constitutional Law Professor,Professeur de droit constitutionnel
25-1112,Environmental Law Professor,Professeur de droit de l'environnement
25-1112,Torts Law Professor,Professeur de droit de la responsabilité délictuelle
25-1113,Family Welfare Social Work Professor,Professeur de travail social pour le bien-être de la famille
25-1113,Geriatric Social Work Professor,Professeur de travail social gériatrique
25-1113,Health Social Work Professor,Professeur de travail social en santé
25-1121,Ballet Professor,Professeur de ballet
25-1121,Photography Professor,Professeur de photographie
25-1121,Piano Professor,Professeur de piano
25-1122,Journalism Professor,Professeur de journalisme
25-1122,Public Speaking Professor,Professeur de prise de parole en public
25-1123,Contemporary English Literature Professor,Professeur de littérature anglaise contemporaine
25-1123,Creative Writing English Professor,Professeur d'anglais en écriture créative
25-1123,Etymology Professor,Professeur d'étymologie
25-1124,Chinese Language Professor,Professeur de langue chinoise
25-1124,Russian Language Professor,Professeur de langue russe
25-1124,Spanish Literature Professor,Professeur de littérature espagnole
25-1125,African History Professor,Professeur d'histoire africaine
25-1125,American History Professor,Professeur d'histoire américaine
25-1125,Jewish History Professor,Professeur d'histoire juive
25-1125,Russian History Professor,Professeur d'histoire russe
25-1126,Divinity Professor,Professeur de Divinité
25-1126,Eastern Philosophy Professor,Professeur de philosophie orientale
25-1126,Theology Professor,Professeur de théologie
25-1192,Family and Consumer Sciences Professor,Professeur de sciences de la famille et de la consommation
25-1192,Family Resource Management Professor,Professeur de gestion des ressources familiales
25-1192,Home Economics Professor,Professeur d'économie domestique
25-1193,Kinesiology Professor,Professeur de kinésiologie
25-1193,Leisure Studies Professor,Professeur d'études sur les loisirs
25-1193,Physical Education (PE) Professor,Professeur d'éducation physique (EP)
25-1194,Automotive Technology Instructor,Instructeur en technologie automobile
25-1194,Cosmetology Instructor,Instructeur de cosmétologie
25-1194,HVAC Instructor,Instructeur CVC
25-1194,Mechanical Maintenance Instructor,Instructeur en maintenance mécanique
25-1199,Military Science Instructor,Instructeur de sciences militaires
25-1199,Packaging Professor,Professeur d'emballage
25-2011,Home-based Preschool Teacher,Enseignante préscolaire à domicile
25-2011,Nursery School Teacher,Enseignante d'école maternelle
25-2011,Preschool Head Start Teacher,Enseignante préscolaire Head Start
25-2012,Bilingual Education Kindergarten Teacher,Enseignante de maternelle en éducation bilingue
25-2021,4th Grade Math Teacher,Professeur de mathématiques de 4e année
25-2021,Elementary School Music Teacher,Professeur de musique à l'école primaire
25-2022,Intermediate School Social Studies Teacher,Professeur d'études sociales à l'école intermédiaire
25-2022,Junior High School Teacher,Professeur de collège
25-2022,Middle School Science Teacher,Professeur de sciences au collège
25-2023,Junior High School Business Teacher,Professeur de commerce au collège
25-2023,Middle School Technology Education Teacher,Professeur d'éducation technologique au collège
25-2031,High School English Teacher,Professeur d'anglais au lycée
25-2031,High School French Teacher,Professeur de Français secondaire
25-2031,High School History Teacher,Professeur d'histoire au secondaire
25-2032,High School Auto Repair Teacher,Professeur de réparation automobile au secondaire
25-2032,High School Cosmetology Teacher,Professeur de cosmétologie au secondaire
25-2051,Early Childhood Special Education Teacher,Enseignante en éducation spécialisée de la petite enfance
25-2051,Pre-Kindergarten Education Intervention Teacher,Enseignante d'intervention en éducation prématernelle
25-2051,Pre-Kindergarten Special Education Teacher,Enseignante en éducation spécialisée à la prématernelle
25-2055,Kindergarten Special Education Teacher,Enseignante en éducation spécialisée à la maternelle
25-2056,Elementary School Inclusion Teacher,Enseignante d'inclusion à l'école primaire
25-2057,Junior High School Special Education Teacher,Enseignante en éducation spécialisée au premier cycle du secondaire
25-2057,Middle School Special Education Teacher,Enseignante en éducation spécialisée au collège
25-2058,High School Special Education Resource Teacher,Enseignante-ressource en éducation de l'enfance en difficulté au secondaire
25-2059,Special Education Teacher for Adults with Disabilities,Enseignante en éducation spécialisée pour adultes handicapés
25-3011,Adult Education Teacher,Enseignante en éducation des adultes
25-3011,Adult English as a Second Language (ESL) Teacher,Enseignant adulte d'anglais langue seconde (ALS)
25-3011,Adult Literacy Instructor,Instructeur en alphabétisation pour adultes
25-3011,General Educational Development (GED ) Teacher,Enseignant de développement de l'éducation générale (GED)
25-3021,Citizenship Teacher,Enseignante en citoyenneté
25-3021,Knitting Instructor,Instructeur de tricot
25-3021,Recreational Activities Instructor,Instructeur d'activités récréatives
25-3031,Elementary School Substitute Teacher,Enseignante suppléante à l'école primaire
25-3031,English Substitute Teacher,Professeur suppléant d'anglais
25-3041,Algebra Tutor,Tuteur d'algèbre
25-3041,Reading Tutor,Tuteur de lecture
25-3041,Spanish Tutor,Tuteur d'espagnol
25-3041,Standardized Test Tutor,Tuteur de test standardisé
25-3099,Sunday School Teacher,Instructeur de l'École du Dimanche
25-4011,Film Archivist,Archiviste de cinéma
25-4011,Historical Records Administrator,Administrateur des documents historiques
25-4011,Reference Archivist,Archiviste de référence
25-4012,Herbarium Curator,Conservateur d'herbier
25-4012,Photography and Prints Curator,Conservateur de la photographie et des estampes
25-4013,Ethnographic Materials Conservator,Conservateur de matériel ethnographique
25-4013,Museum Exhibit Technician,Technicien d'exposition du musée
25-4013,Textile Conservator,Restaurateur textile
25-4022,Library Media Specialist,Spécialiste des médias de bibliothèque
25-4022,Multimedia Services Coordinator,Coordonnatrice des services multimédias
25-4022,Music Librarian,Bibliothécaire musical
25-4022,School Librarian,Bibliothécaire scolaire
25-4031,Library Acquisitions Technician,Technicien en acquisitions de bibliothèque
25-4031,Library Circulation Technician,Technicien en circulation de bibliothèque
25-9021,Agricultural Extension Educator,Éducateur en vulgarisation agricole
25-9021,Family Resource Management Specialist,Spécialiste de la gestion des ressources familiales
25-9021,Feed Management Advisor,Conseiller en gestion des flux
25-9031,Curriculum and Assessment Director,Directeur du curriculum et de l'évaluation
25-9031,Curriculum Specialist,Spécialiste des programmes d'études
25-9031,Special Education Curriculum Specialist,Spécialiste du programme d'études en éducation de l'enfance en
25-9042,Elementary Learning Support Aide,Aide au soutien à l'apprentissage élémentaire
25-9042,Middle School Paraeducator,Paraéducateur du collège
25-9043,Special Education Classroom Aide,Aide-classe en éducation spécialisée
25-9044,Assistant Instructor,Instructeur adjoint
25-9044,College Biology Teaching Assistant,Assistant d'enseignement de la biologie au collège
25-9044,University Teaching Assistant,Assistant d'enseignement universitaire
25-9049,Adult ESL Teacher Aide,Aide-enseignant d'anglais langue seconde pour adultes
25-9049,Adult Literacy Teaching Aide,Aide-enseignant en alphabétisation des adultes
25-9049,Sunday School Teacher Aide,Aide-enseignant de l'École du Dimanche
25-9099,Aptitude Test (SAT) Grader,Grader du test d'aptitude (SAT)
25-9099,General Educational Development (GED ) Examiner,Examinateur du développement de l'enseignement général (GED)
27-1011,Magazine Designer,Concepteur de magazines
27-1012,Hand Potter,Potier à la main
27-1012,Metal Crafts Artist,Artiste de l'artisanat du métal
27-1012,Quilter,Quilter
27-1013,Ice Sculptor,Sculpteur sur glace
27-1013,Political Cartoonist,Caricaturiste politique
27-1013,Scientific Illustrator,Illustrateur scientifique
27-1013,Sketch Artist,Portraitiste
27-1014,3D Animator,Animateur 3D
27-1014,Special Effects Artist,Artiste des effets spéciaux
27-1019,Calligrapher,Calligraphe
27-1019,Tattoo Artist,Tatoueur
27-1021,Automobile Designer,Automobile Designer
27-1021,Package Designer,Concepteur de packages
27-1022,Costume Designer,Costumier
27-1022,Custom Furrier,Fourreur sur mesure
27-1022,Dress Designer,Créateur de robes
27-1023,Corsage Maker,Corsage Maker
27-1023,Florist,Fleuriste
27-1023,Flower Arranger,Arrangeur de fleurs
27-1024,Graphic Artist,Graphiste
27-1024,Visual Designer,Concepteur visuel
27-1025,Home Lighting Adviser,Conseiller en éclairage domestique
27-1025,Interior Decorator,Décorateur
27-1025,Kitchen Designer,Designer de cuisine
27-1026,Display Artist,Artiste d'affichage
27-1026,Mannequin Decorator,Décorateur de mannequin
27-1026,Window Decorator,Décorateur de fenêtres
27-1027,Set Decorator,Décorateur
27-1027,Stage Scenery Designer,Concepteur de décors de scène
27-1029,Memorial Marker Designer,Concepteur de marqueurs commémoratifs
27-2011,Actress,Actrice
27-2011,Dramatic Reader,Lecteur dramatique
27-2011,Voice-Over Artist,Artiste de voix off
27-2012,Casting Director,Directeur de casting
27-2012,Independent Film Maker,Cinéaste indépendant
27-2012,Stage Manager,Régisseur
27-2021,Professional Football Player,Joueur de football professionnel
27-2021,Professional Jockey,Jockey professionnel
27-2021,Professional Race Car Driver,Pilote de voiture de course professionnel
27-2022,Baseball Scout,Baseball Scout
27-2022,Boxing Coach,Entraîneur de boxe
27-2022,Football Coach,Entraîneur de football
27-2023,Athletic Events Scorer,Buteur d'événements athlétiques
27-2023,Paddock Judge,Juge du paddock
27-2023,Race Starter,Démarreur de course
27-2031,Ballerina,Ballerine
27-2031,Dance Artist,Artiste de danse
27-2031,Tap Dancer,Danseur de claquettes
27-2032,Dance Director,Directeur de danse
27-2032,Dance Master,Maître de danse
27-2041,Choirmaster,Chef de chœur
27-2041,Orchestra Conductor,Chef d'orchestre
27-2041,Orchestrator,Orchestrateur
27-2041,Songwriter,Compositeur
27-2042,Instrumentalist,Instrumentiste
27-2042,Oboist,Hautboïste
27-2042,Rapper,Rappeur
27-2091,Club DJ,Club DJ
27-2091,Deejay,Deejay
27-2091,DJ,Dj
27-2099,Clown,Clown
27-2099,Comedian,Comédien
27-2099,Magician,Magicien
27-2099,Professional Poker Player,Joueur de poker professionnel
27-3011,Game Show Host,Animateur de jeu télévisé
27-3011,Radio Disc Jockey,Radio Disc Jockey
27-3011,Talk Show Host,Animateur de talk-show
27-3023,Columnist,Chroniqueur
27-3023,Correspondent,Correspondant
27-3023,Film Critic,Critique de cinéma
27-3023,News Anchor,Présentateur de nouvelles
27-3031,Lobbyist,Lobbyiste
27-3031,Press Secretary,Attaché de presse
27-3031,Publicity Writer,Rédacteur publicitaire
27-3041,Advertising Editor,Éditeur de publicité
27-3041,Copy Editor,Éditeur de copie
27-3041,Technical Editor,Editeur technique
27-3042,Documentation Writer,Rédacteur de documentation
27-3042,Specifications Writer,Rédacteur de spécifications
27-3043,Advertising Copy Writer,Rédacteur publicitaire
27-3043,Playwright,Dramaturge
27-3043,Television Writer,Scénariste de télévision
27-3091,American Sign Language Interpreter,Interprète en langue des signes américaine
27-3091,Court Interpreter,Interprète judiciaire
27-3091,Diplomatic Interpreter,Interprète diplomatique
27-3092,Court Stenographer,Sténographe judiciaire
27-3092,Court Transcriber,Transcripteur de cour
27-3092,Deposition Reporter,Reporter de dépôt
27-3092,Realtime Captioner,Sous-titreur en temps réel
27-3099,Stage Technician,Technicien de scène
27-4011,Video Control Operator,Opérateur de contrôle vidéo
27-4011,Video Production Assistant,Assistant de production vidéo
27-4012,Broadcast Engineer,Ingénieur de diffusion
27-4014,Audio Recording Engineer,Ingénieur d'enregistrement audio
27-4014,Sound Editor,Éditeur de son
27-4014,Sound Effects Technician,Technicien en effets sonores
27-4015,Gaffer,Gaffer
27-4015,Lamp Operator,Opérateur de lampe
27-4021,Aerial Photographer,Photographe aérien
27-4021,Medical Photographer,Photographe médical
27-4021,Portrait Photographer,Photographe portraitiste
27-4031,News Videographer,Actualités Vidéaste
27-4032,Cue Selector,Sélecteur de repère
27-4032,Film Editor,Montage
27-4032,Television News Video Editor,Éditeur vidéo de nouvelles télévisées
27-4099,Satellite Communications Operator,Opérateur de communications par satellite
29-1011,Chiropractic Physician,Chiropratique
29-1021,Family Dentist,Dentiste de famille
29-1022,Dental Surgeon,Chirurgien-dentiste
29-1023,Dentofacial Orthopedics Dentist,Dentiste orthopédie dentofaciale
29-1023,Invisible Braces Orthodontist,Orthodontiste des appareils orthodontiques invisibles
29-1023,Pediatric Orthodontist,Orthodontiste pédiatrique
29-1024,Maxillofacial Prosthetics Dentist,Dentiste prothétique maxillo-faciale
29-1024,Reconstructive Dentist,Dentiste reconstructeur
29-1029,Endodontist,Endodontiste
29-1029,Oral Pathologist,Pathologiste buccal
29-1029,Periodontist,Parodontiste
29-1031,Clinical Dietitian,Diététiste clinique
29-1031,Pediatric Dietician,Diététicien pédiatrique
29-1031,Public Health Nutritionist,Nutritionniste en santé publique
29-1041,Doctor of Optometry,Docteur en optométrie
29-1051,Apothecary,Apothicaire
29-1051,Hospital Pharmacist,Pharmacien hospitalier
29-1071,Anesthesiologist Assistant,Assistant anesthésiste
29-1071,Family Practice Physician Assistant,Adjoint au médecin de famille
29-1081,Chiropodist,Pédicure
29-1081,Foot Doctor,Médecin du pied
29-1081,Foot Orthopedist,Orthopédiste du pied
29-1122,Registered Occupational Therapist,Ergothérapeute agréé
29-1123,Geriatric Physical Therapist,Physiothérapeute gériatrique
29-1123,Physiotherapist,Kinésithérapeute
29-1123,Pulmonary Physical Therapist,Physiothérapeute pulmonaire
29-1124,Radiation Therapy Technologist,Technologue en radiothérapie
29-1125,Certified Recreational Therapist,Thérapeute récréatif certifié
29-1125,Drama Therapist,Thérapeute en théâtre
29-1125,Therapeutic Recreation Specialist,Spécialiste en loisirs thérapeutiques
29-1126,Inhalation Therapist,Thérapeute en inhalation
29-1126,Oxygen Therapist,Oxygénothérapeute
29-1126,Registered Respiratory Therapist,Inhalothérapeute agréé
29-1127,Public School Speech Therapist,Orthophoniste dans les écoles publiques
29-1127,Speech Clinician,Clinicien de la parole
29-1127,Speech Therapist,Orthophoniste
29-1128,Applied Exercise Physiologist,Physiologiste de l'exercice appliqué
29-1128,Clinical Exercise Physiologist,Physiologiste de l'exercice clinique
29-1128,Kinesiotherapist,Kinésithérapeute
29-1129,Art Therapist,Art-thérapeute
29-1129,Hydrotherapist,Hydrothérapeute
29-1129,Music Therapist,Musicothérapeute
29-1131,Animal Surgeon,Chirurgien animalier
29-1131,Doctor of Veterinary Medicine (DVM),Docteur en médecine vétérinaire (DVM)
29-1131,Veterinary Cardiologist,Cardiologue vétérinaire
29-1131,Veterinary Medicine Scientist,Scientifique en médecine vétérinaire
29-1131,Veterinary Radiologist,Radiologue vétérinaire
29-1131,Wildlife Veterinarian,Vétérinaire de la faune
29-1141,Coronary Care Unit Nurse,Infirmière de l'unité de soins coronariens
29-1141,Hospice Registered Nurse,Infirmière autorisée en soins palliatifs
29-1141,Psychiatric Nurse,Infirmière psychiatrique
29-1151,Certified Registered Nurse Anesthetist (CRNA),Infirmière anesthésiste autorisée certifiée (CRNA)
29-1161,Certified Nurse Midwife (CNM),Infirmière sage-femme certifiée (CNM)
29-1171,Cardiology Nurse Practitioner,Infirmière praticienne en cardiologie
29-1171,Family Practice Nurse Practitioner,Infirmière praticienne en médecine familiale
29-1171,Gerontological Nurse Practitioner,Infirmière praticienne en gérontologie
29-1181,Clinical Audiologist,Audiologiste clinique
29-1181,Pediatric Audiologist,Audiologiste pédiatrique
29-1211,Ambulatory Anesthesiologist,Anesthésiste ambulatoire
29-1211,Obstetrical Anesthesiologist,Anesthésiste obstétrical
29-1212,Electrophysiology Cardiologist,Cardiologue en électrophysiologie
29-1212,Interventional Cardiologist,Cardiologue interventionnel
29-1213,Dermatopathologist,Dermatopathologiste
29-1213,Procedural Dermatologist,Dermatologue procédural
29-1214,Critical Care Physician,Médecin de soins intensifs
29-1214,Disaster Medicine Physician,Médecin en médecine des catastrophes
29-1215,Family Practice Physician,Médecin de famille
29-1215,General Practitioner,Médecin généraliste
29-1216,General Internist,Interniste général
29-1216,Internal Medicine Physician,Médecin en médecine interne
29-1216,Internist,Interniste
29-1217,Clinical Neuromuscular Pathologist,Pathologiste neuromusculaire clinique
29-1217,Epileptologist,Épileptologue
29-1217,Headache Specialist,Spécialiste des maux de tête
29-1218,Gynecological Oncologist,Oncologue gynécologique
29-1218,Maternal-Fetal Medicine Physician,Médecin en médecine materno-fœtale
29-1218,OB Specialist,Spécialiste OB
29-1218,OB/GYN,OBSTÉTRIQUE/GYNÉCOLOGUE
29-1221,Internal Medicine Pediatrician,Pédiatre en médecine interne
29-1221,Paediatrician,Pédiatre
29-1221,Pediatric Cardiologist,Cardiologue pédiatrique
29-1221,Pediatrist,Pédiatre
29-1221,Primary Care Pediatrician,Pédiatre de soins primaires
29-1222,Clinical Pathologist,Pathologiste clinique
29-1222,Immunopathologist,Immunopathologiste
29-1222,Neuropathologist,Neuropathologiste
29-1223,Addiction Psychiatrist,Psychiatre de la toxicomanie
29-1223,Forensic Psychiatrist,Psychiatre légiste
29-1223,Geriatric Psychiatrist,Psychiatre gériatrique
29-1223,Neuropsychiatrist,Neuropsychiatre
29-1224,Diagnostic Radiologist,Radiologue diagnostique
29-1224,Interventional Radiologist,Radiologue interventionnel
29-1229,Gastroenterologist,Gastro-entérologue
29-1229,Oncologist,Oncologue
29-1229,Pulmonologist,Pneumologue
29-1241,Cornea and External Disease Physician,Cornée et médecin externe des maladies
29-1241,Viteroretinal Disease Physician,Médecin spécialiste des maladies vitérorétiniennes
29-1242,Joint Preservationist,Co-conservateur
29-1242,Orthopedic Sports Medicine Physician,Médecin orthopédiste en médecine du sport
29-1243,Pediatric Neurosurgeon,Neurochirurgien pédiatrique
29-1243,Pediatric Vascular Surgeon,Chirurgien vasculaire pédiatrique
29-1249,Neurological Surgeon,Chirurgien neurologique
29-1249,Otolaryngologist,Otolaryngologiste
29-1249,Thoracic Surgeon,Chirurgien thoracique
29-1249,Urologist,Urologue
29-1291,Acupuncture Physician,Médecin d'acupuncture
29-1291,Licensed Acupuncturist,Acupuncteur agréé
29-1292,Oral Hygienist,Hygiéniste buccale
29-1292,Registered Dental Hygienist,Hygiéniste dentaire agréée
29-1299,Homeopathic Doctor,Médecin homéopathique
29-1299,Naturopathic Physician,Médecin naturopathe
29-2011,Blood Bank Laboratory Technologist,Technologue de laboratoire de banque de sang
29-2011,Cytogenetic Technologist,Technologue en cytogénétique
29-2011,Immunohematologist,Immunohématologue
29-2012,Histology Technician,Technicien en histologie
29-2012,Pathology Technician,Technicien en pathologie
29-2012,Serology Technician,Technicien en sérologie
29-2031,Cardiac Catheterization Technologist,Technologue en cathétérisme cardiaque
29-2031,EKG Technician,Technicien ECG
29-2032,Echocardiographer,Échocardiographe
29-2032,Registered Diagnostic Medical Sonographer,Échographiste médical diagnostique agréé
29-2032,Ultrasound Technologist,Technologue en échographie
29-2033,Certified Nuclear Medicine Technologist,Technologue certifié en médecine nucléaire
29-2033,Nuclear Cardiology Technologist,Technologue en cardiologie nucléaire
29-2033,Radioisotope Technologist,Technologue en radio-isotopes
29-2034,Computed Tomography (CT) Scanner Operator,Opérateur de scanner de tomodensitométrie (CT)
29-2034,X-Ray Technician,Technicien en radiologie
29-2035,Computed Tomography/Magnetic Resonance Imaging (CT/MRI) Technologist,Technologue en tomodensitométrie/imagerie par résonance magnétique (TDM/IRM)
29-2035,MRI Technologist,Technologue en IRM
29-2036,Certified Medical Dosimetrist,Dosimétriste médical certifié
29-2036,Qualified Medical Dosimetrist,Dosimétriste médical qualifié
29-2042,EMT,Emt
29-2043,Flight Paramedic,Ambulancier paramédical de vol
29-2051,Dietary Technician,Technicien diététique
29-2051,Registered Diet Technician,Technicien en alimentation professionnelle
29-2052,Certified Pharmacy Technician,Technicien en pharmacie certifié
